,ds,y,yhat,yhat_lower,yhat_upper
219,2024-11-13,5985.3798828125,4560.94064544595,3076.9382345599543,6059.94385813381
220,2024-11-14,5949.169921875,4565.524718660754,3071.9441588226327,6103.831156668591
221,2024-11-15,5870.6201171875,4571.107898441962,3121.7299955673716,6068.402863832369
222,2024-11-18,5893.6201171875,4585.150903717394,3093.894364036244,6126.891706325603
223,2024-11-19,5916.97998046875,4589.447098252427,3058.204892891652,6137.199078126807
224,2024-11-20,5917.10986328125,4593.8638543179095,3076.1492795108256,6125.460693640662
225,2024-11-21,5948.7099609375,4597.8436687173125,3096.0501883246893,6198.411090945178
226,2024-11-22,5969.33984375,4602.663194968026,3126.294842193607,6196.05588762932
227,2024-11-25,5987.3701171875,4613.631847078913,3067.8207006989655,6237.35200120325
228,2024-11-26,6021.6298828125,4616.71435100494,3071.2816066638848,6202.01875770933
229,2024-11-27,5998.740234375,4619.864553063883,3095.347299761009,6294.93077180559
230,2024-11-29,6032.3798828125,4626.0806100709215,3045.599041939499,6260.893987974353
231,2024-12-02,6047.14990234375,4633.45322076426,3032.014540995946,6251.764410472542
232,2024-12-03,6049.8798828125,4635.511260289301,3075.9827179863337,6286.590993527302
233,2024-12-04,6086.490234375,4637.759509507967,2998.376107324154,6350.923110474061
234,2024-12-05,6075.10986328125,4639.684213082915,3007.9615640126904,6326.050716466753
235,2024-12-06,6090.27001953125,4642.602626098053,3015.777006870688,6370.9353777655715
236,2024-12-09,6052.85009765625,4649.130719295667,2942.1287135395823,6410.534665316976
237,2024-12-10,6034.91015625,4651.238891520421,2995.4917981984477,6385.981506017694
238,2024-12-11,6084.18994140625,4653.694013024094,2996.964369729785,6431.380258145435
239,2024-12-12,6051.25,4655.9708519003825,2987.293036801158,6464.243120338562
240,2024-12-13,6051.08984375,4659.371548604318,2950.2200046116945,6454.465594447479
241,2024-12-16,6074.080078125,4667.930564559535,2966.9106772520468,6470.033543355089
242,2024-12-17,6050.60986328125,4670.833230049031,2946.0719404883453,6484.87909517837
243,2024-12-18,5872.16015625,4674.099330698333,2939.719221737507,6525.099293863013
244,2024-12-19,5867.080078125,4677.177419046241,2900.0891849781246,6496.294186015432
245,2024-12-20,5930.85009765625,4681.343790277997,2936.610615891811,6524.0627756919575
246,2024-12-23,5974.06982421875,4691.747191936389,2933.593005679864,6524.352989807946
247,2024-12-24,6040.0400390625,4695.044699866658,2931.1587292419213,6520.73794916121
248,2024-12-26,6037.58984375,4701.755411875333,2944.746784041254,6573.455461497527
249,2024-12-27,5970.83984375,4705.875027109979,2901.676091004071,6652.399130869537
250,2024-12-30,5906.93994140625,4715.193320456807,2891.5170300187187,6645.616519709854
251,2024-12-31,5881.6298828125,4717.831633201987,2880.6805092208892,6601.636036775487
252,2025-01-02,5868.5498046875,4722.850658439331,2874.9575980110735,6671.7901947163955
253,2025-01-03,5942.47021484375,4725.974342120739,2854.423448778045,6661.020540634988
254,2025-01-06,5975.3798828125,4731.978825350935,2945.2545161806897,6682.045248536792
255,2025-01-07,5909.02978515625,4733.490098805597,2862.3581294501723,6690.449641177476
256,2025-01-08,5918.25,4735.131172722377,2869.1259537909827,6673.940160831695
257,2025-01-10,5827.0400390625,4738.559332623006,2887.7320772770736,6758.784695780385
258,2025-01-13,5836.22021484375,4742.463260417222,2846.348882452337,6790.985388535184
259,2025-01-14,5842.91015625,4743.582789424647,2822.0327401680097,6708.496516993645
260,2025-01-15,5949.91015625,4745.008614792273,2805.632549059033,6789.694436562372
261,2025-01-16,5937.33984375,4746.229001785284,2843.7364285390236,6763.408828641722
262,2025-01-17,5996.66015625,4748.561668485267,2836.2084311514795,6790.887868682708
263,2025-01-21,6049.240234375,4755.997641282769,2817.937251211847,6768.932917872383
264,2025-01-22,6086.3701171875,4758.415565384913,2861.5701466789205,6790.579200574694
265,2025-01-23,6118.7099609375,4760.746967050276,2779.93193646844,6825.197323638422
266,2025-01-24,6101.240234375,4764.285472467454,2790.922217191343,6830.395065298726
267,2025-01-27,6012.27978515625,4773.660188916559,2756.8303989005017,6926.901124721909
268,2025-01-28,6067.7001953125,4776.933193898167,2758.772053299064,6908.308893834027
269,2025-01-29,6039.31005859375,4780.599737325503,2728.8180077226943,6903.286002523033
270,2025-01-30,6071.169921875,4784.096291212527,2779.5555468964144,6826.656183875127
271,2025-01-31,6040.52978515625,4788.686743267952,2778.563456921923,6960.36962552777
272,2025-02-03,5994.56982421875,4800.2677497971345,2753.362345405999,6968.338128487598
