Date,Actual,Predicted
2025-05-05,5650.3798828125,5442.4546
2025-05-06,5606.91015625,5455.5576
2025-05-07,5631.27978515625,5469.1978
2025-05-08,5663.93994140625,5483.234
2025-05-09,5659.91015625,5497.7285
2025-05-12,5844.18994140625,5512.2456
2025-05-13,5886.5498046875,5529.2075
2025-05-14,5892.580078125,5548.622
2025-05-15,5916.93017578125,5569.884
2025-05-16,5958.379882812499,5592.637
2025-05-19,5963.600097656249,5616.781
2025-05-20,5940.459960937499,5641.6904
2025-05-21,5844.60986328125,5666.3994
2025-05-22,5842.009765625,5689.04
